Month,Account Code,Account Name,Amount,Category,Department,Notes
Apr 2027,6350,Contractors - Engineering,8500,Professional Fees,Information Technology,Reduced due to AI productivity
Apr 2027,6410,Cloud Infrastructure (AWS),98000,Infrastructure,Information Technology,Scaling for growth
Apr 2027,6420,Monitoring & Logging Tools,5200,Software,Information Technology,Enhanced monitoring
Apr 2027,6500,Training & Development,10000,Training,Information Technology,Ongoing training
Apr 2027,6510,AI Training & Enablement,6000,AI Training,Information Technology,Lunch & learns
Apr 2027,6600,Travel,8000,Travel,Information Technology,Conference attendance
Apr 2027,6700,Equipment,10000,Equipment,Information Technology,Equipment refresh
May 2027,5100,Salaries - Engineering,460000,Headcount,Information Technology,47 engineers
May 2027,5200,Benefits - Engineering,110400,Headcount,Information Technology,24% of salaries
May 2027,6200,Software Licenses,33500,Software,Information Technology,Additional licenses
May 2027,6210,GitHub Enterprise,3800,Software,Information Technology,48 licenses
May 2027,6215,AI Tool Licenses - GitHub Copilot,18720,AI Tools,Information Technology,48 licenses @ $39/mo
May 2027,6216,Claude API,3750,AI Tools,Information Technology,Code review & documentation
May 2027,6217,Cursor Pro Licenses,2000,AI Tools,Information Technology,25 licenses @ $20/mo
May 2027,6218,AI Testing Tools,1500,AI Tools,Information Technology,Automated visual testing
May 2027,6219,ChatGPT Enterprise (allocated),1250,AI Tools,Information Technology,Company-wide allocation
May 2027,6350,Contractors - Engineering,8500,Professional Fees,Information Technology,Reduced due to AI productivity
May 2027,6410,Cloud Infrastructure (AWS),95000,Infrastructure,Information Technology,Optimized
May 2027,6420,Monitoring & Logging Tools,5200,Software,Information Technology,Enhanced monitoring
May 2027,6500,Training & Development,8000,Training,Information Technology,Standard training
May 2027,6510,AI Training & Enablement,7500,AI Training,Information Technology,Advanced workshops
May 2027,6600,Travel,5500,Travel,Information Technology,Team offsite
May 2027,6700,Equipment,12000,Equipment,Information Technology,Laptop upgrades
Jun 2027,5100,Salaries - Engineering,475000,Headcount,Information Technology,48 engineers (added 2 senior)
Jun 2027,5200,Benefits - Engineering,114000,Headcount,Information Technology,24% of salaries
Jun 2027,6200,Software Licenses,34000,Software,Information Technology,Mobile dev tools
Jun 2027,6210,GitHub Enterprise,3800,Software,Information Technology,48 licenses
Jun 2027,6215,AI Tool Licenses - GitHub Copilot,18720,AI Tools,Information Technology,48 licenses @ $39/mo
Jun 2027,6216,Claude API,3750,AI Tools,Information Technology,Code review & documentation
Jun 2027,6217,Cursor Pro Licenses,2000,AI Tools,Information Technology,25 licenses @ $20/mo
Jun 2027,6218,AI Testing Tools,1500,AI Tools,Information Technology,Automated visual testing
Jun 2027,6219,ChatGPT Enterprise (allocated),1250,AI Tools,Information Technology,Company-wide allocation
Jun 2027,6350,Contractors - Engineering,8500,Professional Fees,Information Technology,Reduced due to AI productivity
Jun 2027,6410,Cloud Infrastructure (AWS),97000,Infrastructure,Information Technology,Mobile app launch prep
Jun 2027,6420,Monitoring & Logging Tools,5500,Software,Information Technology,Enhanced monitoring
Jun 2027,6500,Training & Development,12000,Training,Information Technology,New hire onboarding
Jun 2027,6510,AI Training & Enablement,9000,AI Training,Information Technology,Comprehensive program
Jun 2027,6600,Travel,6200,Travel,Information Technology,Conference
Jun 2027,6700,Equipment,18000,Equipment,Information Technology,New hire equipment

